Name	NickName	type	charge	scharge	a0	DeltaG	DeltaH	S	a1	a2	a3	a4	c1	c2	omega	Ag+	Al+3	Am+3	Ar	Au+	BO2-	Ba+2	Be+2	Bi+3	Br-	Ca+2	Cd+2	Ce+3	Cl-	Co+3	Cr+3	Cs+	Cu+	Dy+3	Er+3	Eu+3	F-	Fe+3	Fr+	Ga+3	GdO+	H+	H2O	HAsO4-2	HCO3-	HPO4-2	He	Hf+4	Hg+2	HoO+	I-	In+3	K+	Kr	La+3	Li+	Lu+3	Mg+2	Mn+2	MoO4-2	NO3-	Na+	NbO3-	Nd+3	Ne	Ni+2	Pb+2	Pd+2	Pm+3	Pr+3	Pt+2	Ra+2	Rb+	Rh+3	Rn	RuO4-2	SO4-2	Sc+3	SeO4-2	SiO2	Sm+3	Sn+2	Sr+2	Tb+3	TcO4-	Tl+3	Tm+3	U+3	VO4-3	WO4-2	Xe	Y+3	Yb+3	Zn+2	Zr+4	e-
1-PROPANOL	l-PROL(aq)	0	0	0	4	-41130	-74750	40.8	14.58	9.08	12.19	-5.5	74.33	3.35	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	-8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
1-PROPENE	l-PROP(AQ)	0	0	0	4	17910	-290	36.7	9.9655	16.5518	-0.7564	-3.4632	50.0997	14.0151	-0.5558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	-9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
1-PROPYNE	l-PRPY(AQ)	0	0	0	4	47880	38970	36.7	10.4855	17.8227	-1.2588	-3.5157	44.5321	12.0799	-0.5558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	-9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
2-BUTANONE	2-BUON(AQ)	0	0	0	4	-36730	-67880	50.3	12.9145	17.6967	11.7839	-3.5105	73.7083	1.381	-0.4217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	-11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
2-HEPTANONE	2-HPON(AQ)	0	0	0	4	-30430	-84890	70.1	19.2419	30.3392	12.8366	-4.0331	125.8091	5.6804	-0.7216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	-20	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
2-HEXANONE	2-HXON(AQ)	0	0	0	4	-32480	-79220	63.4	17.1141	26.0886	12.4806	-3.8574	108.456	4.2473	-0.6201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	-17	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
2-HYDROXYBUTANOATE	2hybu8	0	-1	0	4	-120550	-169810	38.6	11.9172	20.272	0.0242	-3.6169	64.6903	-3.5254	1.0449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	-9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
2-HYDROXYBUTANOIC	2hybuac	0	0	0	4	-125750	-169670	56.5	13.3861	22.2951	2.5821	-3.7006	78.3729	3.7235	-0.2128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	-9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
2-HYDROXYDECANOATE	2hydec8	0	-1	0	4	-108380	-203930	78.8	24.6277	49.0925	-6.5525	-4.8084	183.1446	-1.9837	0.4356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	-27	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
2-HYDROXYDECANOIC	2hydecac	0	0	0	4	-113480	-203690	96.7	26.3459	52.9848	-7.4315	-4.9693	182.49	16.2909	0.0537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	-27	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
2-HYDROXYHEPTANOATE	2hyhep8	0	-1	0	4	-114500	-186900	58.7	18.2444	34.6247	-3.2651	-4.2103	123.9167	-2.7545	0.7402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	-18	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
2-HYDROXYHEPTANOIC	2hyhepac	0	0	0	4	-119600	-186680	76.6	19.8147	38.1868	-4.0817	-4.3375	130.4315	10.0072	-0.0795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	-18	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
2-HYDROXYHEXANOATE	2hyhex8	0	-1	0	4	-116550	-181240	52	16.1891	30.4279	-3.3776	-4.0368	104.1738	-3.0115	0.8417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	-15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2-HYDROXYHEXANOIC	2hyhexac	0	0	0	4	-121650	-181010	69.9	17.769	33.3994	-2.6456	-4.1596	113.0787	7.9126	-0.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	-15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
2-HYDROXYNONANOATE	2hynon8	0	-1	0	4	-110420	-198250	72.1	22.4999	44.27	-5.4567	-4.609	163.4021	-2.2406	0.5372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	-24	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
2-HYDROXYNONANOIC	2hynonac	0	0	0	4	-115520	-198020	90	24.1688	48.0543	-6.32	-4.7655	165.1372	14.1963	0.0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	-24	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
2-HYDROXYOCTANOATE	2hyoct8	0	-1	0	4	-112450	-192570	65.4	20.3721	39.4474	-4.3607	-4.4097	143.6592	-2.4976	0.6387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	-21	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
