Name	NickName	mol_volume	DeltaG	DeltaH	S	a1	a2	a3	a7	Ag+	Al+3	Am+3	Ar	Au+	BO2-	Ba+2	Be+2	Bi+3	Br-	Ca+2	Cd+2	Ce+3	Cl-	Co+3	Cr+3	Cs+	Cu+	Dy+3	Er+3	Eu+3	F-	Fe+3	Fr+	Ga+3	GdO+	H+	H2O	HAsO4-2	HCO3-	HPO4-2	He	Hf+4	Hg+2	HoO+	I-	In+3	K+	Kr	La+3	Li+	Lu+3	Mg+2	Mn+2	MoO4-2	NO3-	Na+	NbO3-	Nd+3	Ne	Ni+2	Pb+2	Pd+2	Pm+3	Pr+3	Pt+2	Ra+2	Rb+	Rh+3	Rn	RuO4-2	SO4-2	Sc+3	SeO4-2	SiO2	Sm+3	Sn+2	Sr+2	Tb+3	TcO4-	Tl+3	Tm+3	U+3	VO4-3	WO4-2	Xe	Y+3	Yb+3	Zn+2	Zr+4	e-
CINNABAR	Cin	28.416	-10940	-12750	19.7	10.46	3.72	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	-4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
CLINOCHLORE,14A	14A-Cnc	207.11	-1961703	-2116964	111.2	166.5	42.1	-37.47	900	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
CLINOCHLORE,7A	7A-Cnc	211.5	-1957101	-2113197	106.5	162.82	50.62	-40.88	848	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
CLINOZOISITE	Czo	136.2	-1549240	-1643781	70.64	106.118	25.214	-27.145	700	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
COESITE	Cos	20.641	-203541	-216614	9.65	11	8.2	-2.7	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
COPPER	Cu	7.113	0	0	7.923	5.41	1.5	0	1357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CORDIERITE	Crd	233.22	-2061279	-2183199	97.33	143.83	25.8	-38.6	1700	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
CORDIERITE,HYDROUS	Hyd-Crd	241.22	-2121350	-2255676	111.43	155.23	25.8	-38.6	1700	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
CORUNDUM	Crn	25.575	-374824	-397145	12.18	27.49	2.82	-8.38	1800	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0
COVELLITE	Cv	20.42	-12612	-12500	15.9	10.6	2.64	0	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
